gene,pval,padj,celltype,condition,chromosome
1110002E22Rik,0.0868464111255438,0.383674408583031,Cardiomyocyte,F1_Aged,3
1110002L01Rik,7.5938986669353e-4,0.00449850715228973,Cardiomyocyte,F1_Aged,12
1110019D14Rik,6.9311101825746e-4,0.00413210528585244,Cardiomyocyte,F1_Aged,6
1700025G04Rik,7.146277425777651e-110,1.22555844357037e-108,Cardiomyocyte,F1_Aged,1
1700087I21Rik,4.30104533953044e-30,3.99758609509131e-29,Cardiomyocyte,F1_Aged,14
1700096K18Rik,1.4194103379293e-4,8.8412079580845e-4,Cardiomyocyte,F1_Aged,5
2010001K21Rik,4.619497008064739e-11,3.50160016829408e-10,Cardiomyocyte,F1_Aged,13
2210408F21Rik,2.18462498048473e-103,3.58651749308725e-102,Cardiomyocyte,F1_Aged,6
2310014F06Rik,1.8277095325305e-33,1.74085336524115e-32,Cardiomyocyte,F1_Aged,7
2310016D03Rik,0.0918556835272572,0.402538588978604,Cardiomyocyte,F1_Aged,12
2310039L15Rik,0.0507256241219784,0.243170380053563,Cardiomyocyte,F1_Aged,10
2310057M21Rik,9.1146103814566e-4,0.00536047382830224,Cardiomyocyte,F1_Aged,7
2610008E11Rik,8.20822399287907e-7,5.62775819196976e-6,Cardiomyocyte,F1_Aged,10
2610035D17Rik,2.76687310326969e-10,2.0637841160689704e-9,Cardiomyocyte,F1_Aged,11
2810449D17Rik,1.36837294148357e-12,1.0643986666254399e-11,Cardiomyocyte,F1_Aged,19
3425401B19Rik,0.0836363992131515,0.371691627051861,Cardiomyocyte,F1_Aged,14
4632427E13Rik,1.7623556879748798e-131,3.7387117094895595e-130,Cardiomyocyte,F1_Aged,7
4732440D04Rik,2.5276833887569496e-206,1.7570088576742497e-204,Cardiomyocyte,F1_Aged,1
4833420G17Rik,8.91638438404518e-10,6.527697362667521e-9,Cardiomyocyte,F1_Aged,13
4921511C10Rik,0.00145843809505255,0.00844808024208632,Cardiomyocyte,F1_Aged,3
4930402D18Rik,1.310666452025e-5,8.62426444867208e-5,Cardiomyocyte,F1_Aged,15
4930412C18Rik,3.1034658234433e-4,0.00189691727692972,Cardiomyocyte,F1_Aged,4
4930428N03Rik,7.1598999499415e-4,0.00425685043429647,Cardiomyocyte,F1_Aged,14
4930447C04Rik,0.0145210970774117,0.0762095167098861,Cardiomyocyte,F1_Aged,12
4930458D05Rik,5.0760742028003e-4,0.00305969269751823,Cardiomyocyte,F1_Aged,5
4930481A15Rik,4.18181445797711e-38,4.11505657656964e-37,Cardiomyocyte,F1_Aged,19
4930512H18Rik,2.804969126922e-4,0.00171768212514607,Cardiomyocyte,F1_Aged,8
4930517O19Rik,0.0243997679443388,0.124135838977908,Cardiomyocyte,F1_Aged,14
4930522O17Rik,6.86326475353609e-13,5.35777442050237e-12,Cardiomyocyte,F1_Aged,4
4930544I03Rik,0.0140566998732326,0.0738909710150456,Cardiomyocyte,F1_Aged,12
4930557K07Rik,0.048365632541579,0.233398111541121,Cardiomyocyte,F1_Aged,6
5031425E22Rik,1.1686663879344e-203,7.71319816036707e-202,Cardiomyocyte,F1_Aged,5
5830417I10Rik,1.7225460418025399e-12,1.3367120946719499e-11,Cardiomyocyte,F1_Aged,3
9330159M07Rik,1.1915901585092998e-99,1.8761084567951197e-98,Cardiomyocyte,F1_Aged,9
9330162G02Rik,2.38658168567095e-5,1.5531797543998e-4,Cardiomyocyte,F1_Aged,7
9430037G07Rik,1.18346671891455e-13,9.35038880458001e-13,Cardiomyocyte,F1_Aged,9
9530026P05Rik,8.648294698327489e-135,1.8962401865393196e-133,Cardiomyocyte,F1_Aged,6
A330102I10Rik,9.66065457272512e-10,7.06070659711252e-9,Cardiomyocyte,F1_Aged,13
A730017L22Rik,1.57834727094359e-13,1.24552186815766e-12,Cardiomyocyte,F1_Aged,2
A930029G22Rik,3.49890659670794e-8,2.49583577542464e-7,Cardiomyocyte,F1_Aged,17
AI839979,2.0510860283550601e-10,1.53514273874822e-9,Cardiomyocyte,F1_Aged,5
AW011738,2.9486873366916e-4,0.00180400028632424,Cardiomyocyte,F1_Aged,4
Aaas,0.00117261253837996,0.00684093779087026,Cardiomyocyte,F1_Aged,15
Aak1,2.8347969260291993e-218,2.4371793571940496e-216,Cardiomyocyte,F1_Aged,6
Aasdh,0.0547793445703188,0.259180476048127,Cardiomyocyte,F1_Aged,5
Abca8a,0.02686914011254,0.135779552587267,Cardiomyocyte,F1_Aged,11
Abcb4,9.917264801372e-4,0.00581160611768293,Cardiomyocyte,F1_Aged,5
Abcc5,4.1503670130103e-4,0.00252499981964706,Cardiomyocyte,F1_Aged,16
Abcc9,0.00711124655324415,0.0386563102985834,Cardiomyocyte,F1_Aged,6
Abcd3,7.80892290581885e-66,9.48392235439041e-65,Cardiomyocyte,F1_Aged,3
Abhd18,7.110216913756429e-231,8.44693769354264e-229,Cardiomyocyte,F1_Aged,3
Abhd2,1.55368825660268e-14,1.23651632991984e-13,Cardiomyocyte,F1_Aged,7
Abhd6,1.51114902883479e-9,1.10076340628835e-8,Cardiomyocyte,F1_Aged,14
Abi2,0.0821976016853446,0.366606914274431,Cardiomyocyte,F1_Aged,1
Abra,2.5920448934101495e-95,3.9204679012828494e-94,Cardiomyocyte,F1_Aged,15
Abtb2,4.12438362502401e-67,5.06554936201257e-66,Cardiomyocyte,F1_Aged,2
Abtb3,0.00774739370344261,0.041974685288801,Cardiomyocyte,F1_Aged,10
Acaa2,0.0102635308877835,0.0548339417994911,Cardiomyocyte,F1_Aged,18
Acaca,0.0255169035574984,0.129246083600538,Cardiomyocyte,F1_Aged,11
Acacb,7.35174486587144e-117,1.34933429644955e-115,Cardiomyocyte,F1_Aged,5
Acad12,1.6364233636002e-4,0.00101542167690067,Cardiomyocyte,F1_Aged,5
Acadl,2.22401502651125e-53,2.48830722315488e-52,Cardiomyocyte,F1_Aged,1
Acadsb,0.0506713141732121,0.243088375042414,Cardiomyocyte,F1_Aged,7
Acat1,1.3412952511279598e-43,1.3801611292708799e-42,Cardiomyocyte,F1_Aged,9
Aco2,1.0948953939054798e-98,1.69527168335981e-97,Cardiomyocyte,F1_Aged,15
Acox1,5.675734508702529e-197,3.06489663469937e-195,Cardiomyocyte,F1_Aged,11
Acsf2,0.0498935904380134,0.239727918243921,Cardiomyocyte,F1_Aged,11
Acsl1,2.9134222563698e-244,4.75907525578006e-242,Cardiomyocyte,F1_Aged,8
Acsl6,0.0349046269640656,0.173434853675441,Cardiomyocyte,F1_Aged,11
Acsm5,2.12958515617697e-119,4.010002711948229e-118,Cardiomyocyte,F1_Aged,7
Acss1,1.40293274966578e-99,2.2035486986337098e-98,Cardiomyocyte,F1_Aged,2
Acss3,0.00751123842267036,0.0407696468919391,Cardiomyocyte,F1_Aged,10
